id,name,given_name,family_name,identifiers,sources
praha:person:katerina-arnotova,Kateřina Arnotová,Kateřina,Arnotová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Arnotová  Kateřina Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Arnotová  Kateřina Mgr.'""}]"
praha:person:martin-benkovic,Martin Benkovič,Martin,Benkovič,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Benkovič  Martin Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Benkovič  Martin Mgr.'""}]"
praha:person:jaromir-beranek,Jaromír Beránek,Jaromír,Beránek,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Beránek  Jaromír Mgr. Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr. Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Beránek  Jaromír Mgr. Ing.'""}]"
praha:person:david-bodecek,David Bodeček,David,Bodeček,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Bodeček  David Mgr. MBA""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr. MBA""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Bodeček  David Mgr. MBA'""}]"
praha:person:vladan-broz,Vladan Brož,Vladan,Brož,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Brož  Vladan Mgr. et Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr. et Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Brož  Vladan Mgr. et Mgr.'""}]"
praha:person:jiri-bruzek,Jiří Brůžek,Jiří,Brůžek,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Brůžek  Jiří""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Brůžek  Jiří'""}]"
praha:person:vaclav-bilek,Václav Bílek,Václav,Bílek,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Bílek  Václav""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Bílek  Václav'""}]"
praha:person:jan-chabr,Jan Chabr,Jan,Chabr,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Chabr  Jan Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Chabr  Jan Mgr.'""}]"
praha:person:kristyna-drapalova,Kristýna Drápalová,Kristýna,Drápalová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Drápalová  Kristýna Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Drápalová  Kristýna Mgr.'""}]"
praha:person:zuzana-freitas,Zuzana Freitas,Zuzana,Freitas,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Freitas  Zuzana  Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Freitas  Zuzana  Mgr.'""}]"
praha:person:marta-gellova,Marta Gellová,Marta,Gellová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Gellová  Marta Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Gellová  Marta Mgr.'""}]"
praha:person:zuzana-hamanova,Zuzana Hamanová,Zuzana,Hamanová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Hamanová  Zuzana Ing. arch.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing. arch.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Hamanová  Zuzana Ing. arch.'""}]"
praha:person:petr-hlavacek,Petr Hlaváček,Petr,Hlaváček,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Hlaváček  Petr doc. Ing. arch.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""doc. Ing. arch.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Hlaváček  Petr doc. Ing. arch.'""}]"
praha:person:michal-hroza,Michal Hroza,Michal,Hroza,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Hroza  Michal Bc.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Bc.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Hroza  Michal Bc.'""}]"
praha:person:martin-hrubcik,Martin Hrubčík,Martin,Hrubčík,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Hrubčík  Martin Mgr. MBA""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr. MBA""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Hrubčík  Martin Mgr. MBA'""}]"
praha:person:jan-husbauer,Jan Hušbauer,Jan,Hušbauer,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Hušbauer  Jan""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Hušbauer  Jan'""}]"
praha:person:zdenek-hrib,Zdeněk Hřib,Zdeněk,Hřib,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Hřib  Zdeněk MUDr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""MUDr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Hřib  Zdeněk MUDr.'""}]"
